case_id,rule_id,statement_id,feedback_verdict,partial_reason,unknown_reason,learnable,learning_lane,source,domain,school,family,rule_type,needs_mapping_repair,case_feedback_missing,case_fallback,fallback_reason
C-2026-009-乾-庚辰乙酉丙申乙未,UNMAPPED,UNMAPPED-C-2026-009-乾-庚辰乙酉丙申乙未-0009,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0009,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0010,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0011,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0012,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0013,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0014,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0015,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-010-坤-甲子丁卯癸卯庚申,UNMAPPED,UNMAPPED-C-2026-010-坤-甲子丁卯癸卯庚申-0016,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-011-乾-乙丑乙酉丁丑癸卯,UNMAPPED,UNMAPPED-C-2026-011-乾-乙丑乙酉丁丑癸卯-0009,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-011-乾-乙丑乙酉丁丑癸卯,UNMAPPED,UNMAPPED-C-2026-011-乾-乙丑乙酉丁丑癸卯-0010,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-011-乾-乙丑乙酉丁丑癸卯,UNMAPPED,UNMAPPED-C-2026-011-乾-乙丑乙酉丁丑癸卯-0011,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-011-乾-乙丑乙酉丁丑癸卯,UNMAPPED,UNMAPPED-C-2026-011-乾-乙丑乙酉丁丑癸卯-0012,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
